"CAMC_Name","CAMC_Country","CAMC_Birth","CAMC_Death","CAMC_Count","GND_Count","GND_URI","GND_Name","GND_Country","GND_Gender","GND_Birth","GND_Death","GND_VariantName","Birth","Death","Country"
"Arditti, David","ENG","1964",NA,2,1,NA,"not found",NA,0,NA,NA,NA,"1964",NA,"ENG"
"Arensky, Anton","RUS","1861","1906",6,1,"http://d-nb.info/gnd/118875655","Arenskij, Anton Stepanovič","DEU/RUS",1,"1861","1906","Arenskij, Antonij S.; Arenskij, Antonij Stepanovic; Areński, A.; Arenskii, Antonii Stepanovich; Arenskij, A. S.; Arensky, ...; Arenskij, ...; Arensky, Anton S.; Arensky, A.; Arenskij, A.; Arenskis, A.; Arenskij, Anton S.; Arenskij, Antonij Stepanowitsch; Arenski, Anton Stepanowitsch; Arensky, Antony Stepanovich; Arensky, Anton Stephan; Arenski, Anton Stepanovich; Arenski, Antoni; Arensky, Anton Stepanovich; Arensky, Anton Stepanowitsch; Arensky, Anton; Arenski, Anton; Arenski, Antoni Stepanovitch","1861","1906","RUS"
"Armond, Andrew D.","USA","1978",NA,1,1,NA,"not found",NA,0,NA,NA,NA,"1978",NA,"USA"
"Arne, Thomas Augustine","ENG","1710","1778",8,1,"http://d-nb.info/gnd/119223295","Arne, Thomas Augustine","GBR",1,"1710","1778","Arne, ...; Arne, Thomaz Augustine; Arne, Thomas Augustin; Arne, Thomas A.; Arne, Thomas; Gentleman commoner of Oxford","1710","1778","ENG"
"Arnold, Sir Malcolm","ENG","1921","2006",2,1,"http://d-nb.info/gnd/118942840","Arnold, Malcolm","GBR",1,"1921","2006","Arnold, M.; Arnold, Malcolm Henry","1921","2006","ENG"
"Arriaga, Juan Crisostomo de","BSQ","1806","1826",5,1,NA,"not found",NA,0,NA,NA,NA,"1806","1826","BSQ"
"Arrieta, Juan Emilio",NA,"1823","1894",1,1,NA,"not found",NA,0,NA,NA,NA,"1823","1894",NA
"Ascher, Joseph","ENG","1829","1869",13,1,"http://d-nb.info/gnd/141845457","Ascher, Joseph","NLD",1,"1829","1869","Ascher, J.","1829","1869","ENG"
"Ashe, Ivy","CAN","1981",NA,7,1,NA,"not found",NA,0,NA,NA,NA,"1981",NA,"CAN"
"Asola, Matteo","ITA","1560","1609",7,1,"http://d-nb.info/gnd/101374054","Asola, Giovanni Matteo","ITA",1,"1532","1609","Asula, Matthe̜us; Asola, Giammateo; Asola, Matteo; Asola, Giovanni M.; Asula, Io. Matthaeo; Asvla, Io. Matthaevs; Asula, Ioan. Mattheo; Asula, Ioan. Matthaeo; Asula, Matthaeo; Asvla, Io. Matthaeo; Asola, John Matthew; Asula, Giovanni Matteo; Asola, M.; Asola, Gio. Matteo; Asula, Mattheus; Asola, Johannes Matthaeus; Asula, Giammateo; Asola, G. M.; Asola, G.; Asula, Johannes Matthäus","1532","1609","ITA"
"Assandra, Caterina","ITA",NA,NA,2,1,"http://d-nb.info/gnd/102834903","Assandra, Caterina","ITA",2,"1580","1618","Assandra, Catharina","1580","1618","ITA"
"Aston, Hugh","ENG","1485","1558",2,1,NA,"not found",NA,0,NA,NA,NA,"1485","1558","ENG"
"Astorga, Emanuele d'",NA,"1680","1750",2,1,"http://d-nb.info/gnd/118638629","Astorga, Emanuele d'","ESP/ITA",1,"1680","1757","Astorga, Emanuele, barone d'; Astorga, Emanuele; D'Astorga, Emanuele G.; Astorga, Emanuele G. d'; D'Astorga, Emanuele; Rincon, Emanuele Gioacchino Cesare; Astorga, Emanuele Gioacchino Cesare Rincon d'; Rincon, Emanuele Gioacchino Cesare, barone d’Astorga; Astorga, Emanuel; Astorga, Emanuele Rincon d'; Astorga, Emanuel Rincon d'; Rincón de Astorga, Manuel; Rincón, Manuel, Barón de Astorga","1680","1757","ESP/ITA"
"Athenaios (Son Of Athenaios)","GRC",NA,NA,1,1,NA,"not found",NA,0,NA,NA,NA,NA,NA,"GRC"
"Attaingnant, Pierre","FRA","1494","1551",7,1,NA,"not found",NA,0,NA,NA,NA,"1494","1551","FRA"
"Attwood, Thomas","ENG","1765","1838",1,1,"http://d-nb.info/gnd/118650890","Attwood, Thomas","GBR",0,"1765","1831",NA,"1765","1831","ENG"
"Auber, Daniel-François-Esprit","FRA","1782","1871",4,1,"http://d-nb.info/gnd/118646192","Auber, Daniel-François-Esprit","FRA",1,"1782","1871","Auber, Daniel François Esprit; Auber, D. F.; Auber, D.; Auber, Daniel F.; Auber, Daniel-François; Auber, D. F. E.; Auber, D. F. C.; Auber, ...; Ober, D.; Auber, Daniel François; Auber, Esprit; Auber, François; Auber, Daniel; Auber, D.F.E.","1782","1871","FRA"
"Audran, Edmond","FRA","1842","1901",2,1,"http://d-nb.info/gnd/120659328","Audran, Edmond","FRA",1,"1840","1901","Audran, E.; Audran, Ed.; Audran, Edmondo; Audran, Édouard","1840","1901","FRA"
"Avila, Christian","ENG","1972",NA,4,1,NA,"not found",NA,0,NA,NA,NA,"1972",NA,"ENG"
"Avison, Charles","ENG","1709","1770",2,1,"http://d-nb.info/gnd/124616836","Avison, Charles","GBR",1,"1709","1770","Avison, Karl","1709","1770","ENG"
