"CAMC_Name","CAMC_Country","CAMC_Birth","CAMC_Death","CAMC_Count","GND_Count","GND_URI","GND_Name","GND_Country","GND_Gender","GND_Birth","GND_Death","GND_VariantName","Birth","Death","Country"
"Connault, Nicolas J.G.","FRA","1978",NA,1,1,NA,"not found",NA,0,NA,NA,NA,"1978",NA,"FRA"
"Cons, Auguste",NA,NA,NA,1,1,NA,"not found",NA,0,NA,NA,NA,NA,NA,NA
"Cook, Jonathan Chapman",NA,NA,NA,4,1,NA,"not found",NA,0,NA,NA,NA,NA,NA,NA
"Cooke, Benjamin",NA,"1734","1793",1,1,"http://d-nb.info/gnd/1025730895","Cooke, Benjamin","GBR",1,"1734","1793",NA,"1734","1793","GBR"
"Cooke, Thomas Simpson","IRL","1782","1848",1,1,"http://d-nb.info/gnd/103879358","Cooke, Thomas Simpson","GBR/IRL",0,"1782","1848","Cooke, Thomas S.","1782","1848","IRL"
"Copeland, Paul","AUS","1947",NA,5,1,NA,"not found",NA,0,NA,NA,NA,"1947",NA,"AUS"
"Copeland, Russell G.","ENG","1985",NA,4,1,NA,"not found",NA,0,NA,NA,NA,"1985",NA,"ENG"
"Coppinus, Alexandre",NA,"1465","1527",1,1,NA,"not found",NA,0,NA,NA,NA,"1465","1527",NA
"Corbetta, Francesco","ITA","1620","1681",1,1,"http://d-nb.info/gnd/122776526","Corbetta, Francesco","ITA",0,"1615","1681","Corbett, Francisque; Corbetti, Francesco; Corbetta, François","1615","1681","ITA"
"Corelli, Arcangelo","ITA","1653","1713",27,1,"http://d-nb.info/gnd/11901176X","Corelli, Arcangelo","ITA",1,"1653","1713","Corelli, ...; Corelli, A.; Korelli, Arkandželo; Corelli da Fusignano, Arcangelo; Corelli-Léonard, A.; Corellius, Arcangelvs; Corelle, Arcangelo; Corelli, Archangelo; Riccoleno, Gallario; Corelli, Arcangiolo; Corelli, Angelo","1653","1713","ITA"
"Cornysh, William","ENG",NA,NA,1,1,"http://d-nb.info/gnd/10315874X","Cornysh, William","GBR",0,"1468","1523","Cornishe, William; Cornysshe, William; Cornish, William; Cornissh, William; William, Cornysh; William, Cornyshe; William, Cornish; William, Cornishe; Cornyshe, William; Cornyssh, William","1468","1523","ENG"
"Correa de Arauxo, Francisco",NA,NA,NA,2,1,"http://d-nb.info/gnd/124453317","Corrêa de Araujo, Francisco","ESP",1,"1576","1654","Correa de Arauxo, Francisco; Arauxo, Francisco C. de; De Araujo, Francisco Corrêa; Araujo, Francisco Corrêa de; Arauxo, Francisco Correa de; Correa de Arrauxo, Francisco; Correa de Azavedo, Francisco; De Arauxo, Francisco Correa; Correa de Araujo, Francisco; Correa de Azaveda, Francisco","1576","1654","ESP"
"Corrette, Michel","FRA","1709","1795",1,1,"http://d-nb.info/gnd/119458810","Corrette, Michel","FRA",1,"1707","1795","Corette, Michael; Corrette, Michele; Corette, Michel; Corrette, Michael","1707","1795","FRA"
"Corteccia, Francesco",NA,"1502","1571",1,1,"http://d-nb.info/gnd/119383314","Corteccia, Francesco","ITA",1,"1502","1571","Corteccia, Pier Francesco; Corteccia, Pier F.","1502","1571","ITA"
"Coste, Napoléon","FRA","1806","1883",8,1,"http://d-nb.info/gnd/123994810","Coste, Napoléon","FRA",1,"1805","1883","Coste, N.; Coste, Nap.; Kosuto, Naporeon; Coste, Claude Antoine Jean George Napoleón; Coste, Napoleon; Coste, Napoleón","1805","1883","FRA"
"Costeley, Guillaume","FRA",NA,NA,7,1,"http://d-nb.info/gnd/118677047","Costeley, Guillaume","FRA",0,"1530","1606","Cotelay, Guillaume; Cautelay, Guillaume; Costely, Guillaume","1530","1606","FRA"
"Cotes, Ambrosio","ESP",NA,NA,1,1,NA,"not found",NA,0,NA,NA,NA,NA,NA,"ESP"
"Cozzolani, Chiara Margarita","ITA","1602","1678",1,1,"http://d-nb.info/gnd/124118755","Cozzolani, Chiara Margarita","ITA",0,"1602","1677","Cozzolani, Chiara M.","1602","1677","ITA"
"Cracoviensis, N.Z.",NA,NA,NA,2,1,NA,"not found",NA,0,NA,NA,NA,NA,NA,NA
"Cramer, Johann Baptist","DEU/ENG","1771","1858",8,1,"http://d-nb.info/gnd/119175606","Cramer, Johann Baptist","DEU/GBR",1,"1771","1858","Cramer, Jean-Baptiste; Cramer, Jean Baptiste; Cramer, Joh. Bapt.; Crammer, J. B.; Kramer, Johann Baptist; Cramer, Johann B.; Cramer, J. B.; Cramer, I. B.; Crammer, ...; Crammer, I. B.; Cramer, John Baptist; Cramer, Johann; Cramer, J.; Cramer, J.B.","1771","1858","DEU/ENG"
"Croce, Giovanni","ITA",NA,NA,4,1,"http://d-nb.info/gnd/118522787","Croce, Giovanni","ITA",1,"1557","1609","Chioggiotto, Il; Chiozzotto, Il; Cruce, Giovanni; Croce, Ioannes; Cruce Clodiensis, Joanne de; Cruce Clodiensis, Joanne a; Clodiensis, Joanne de Cruce; Clodiensis, Joanne a Cruce; Cruce, Joannes; Ioannis a Cruce Clodiensis; Ioanne a Cruce Clodiensis; Chiozzotto; Croce, Giovanni Battista","1557","1609","ITA"
"Croft, William","ENG","1678","1727",3,1,"http://d-nb.info/gnd/124556566","Croft, William","GBR",1,"1678","1727","Croft, Gulielmus; Crofft, William; Crofts, William","1678","1727","ENG"
"Cronin, Allan J.","USA","1956",NA,3,1,NA,"not found",NA,0,NA,NA,NA,"1956",NA,"USA"
"Crusell, Bernhard Henrik","FIN","1775","1838",7,1,"http://d-nb.info/gnd/103131876","Crusell, Bernhard Henrik","FIN/SWE",1,"1775","1838","Crusell, Henrik Bernhard; Crusell, Bernard; Crusell, B. H.; Crusell, Bernhard H.; Crusell, Berndt H.; Crusell, Bernard Henrik; Crusell, Bernhard","1775","1838","FIN"
"Cui, César","RUS","1835","1918",6,1,"http://d-nb.info/gnd/119224151","Kjui, Cezar' Antonovič","LTU/RUS",1,"1835","1918","Kjui, Cezar' A.; Cui, Cesar' A.; Kjuj, Zesar Antonovitsch *M; Kjui, C.; Cui, C.; Kjui, C. A.; Cui, Z.; Kjui, Cäsar A.; Cui, César; Kjui, Cezar'; Kyui, Tsezar' Antonovich; Kjui, Zesar A.; Cui, César Antonovitsch; Kjui, Zezar Antonowitsch; Kiui, Tsezar Antonovitsch; Kyui, Tsezar Antonovitsch; Cui, Cesar A.; Cui, Caesar; Kjui, Cezar Antonovič; Cui, Cesar Antonowitsch; Cuy, Z.; Kjui, Cezarʾ A.; Kjuj, Zesar Antonovitsch; Kjui, Cezar A.; Kyui, Tsezar Antonovich; Cui, César Antonovich","1835","1918","RUS"
"Cullen, Matt",NA,"1979",NA,8,1,NA,"not found",NA,0,NA,NA,NA,"1979",NA,NA
"Cunha, Rogerio Oliveira",NA,"1936",NA,5,1,NA,"not found",NA,0,NA,NA,NA,"1936",NA,NA
"Cunningham, Kevin","USA","1981",NA,1,1,NA,"not found",NA,0,NA,NA,NA,"1981",NA,"USA"
"Cunningham, Kyle C.",NA,"1985",NA,1,1,NA,"not found",NA,0,NA,NA,NA,"1985",NA,NA
"Cutting, Francis","ENG",NA,"1596",2,1,"http://d-nb.info/gnd/134353277","Cutting, Francis","GBR",1,NA,NA,NA,NA,"1596","ENG"
"Cvikl, Petr","CZE","1975",NA,33,1,NA,"not found",NA,0,NA,NA,NA,"1975",NA,"CZE"
"Czerny, Carl","AUT","1791","1857",95,1,"http://d-nb.info/gnd/118677667","Czerny, Carl","AUT",1,"1791","1857","Czerny, ...; Czerny, Ch.; Czerny, Karl; Czerny, Carlo; Czerny, Charles; Cherni, Karl","1791","1857","AUT"
"Czibulka, Alphonse","HUN","1824","1894",2,1,"http://d-nb.info/gnd/116779128","Czibǔlka, Alphons","AUT/SVK",1,"1842","1894","Czibulka, Anton; Czibulka, Alfons; Czibulka, Adolphus Joannes Nepomuck; Czibulka, Alphonse; Czibulka, Alphons; Czibulka, Alfonz; Czibulka, Alphonso; Czibulka, A.","1842","1894","HUN"
"D'Aragona, C.","BRA","1876","1932",14,1,NA,"not found",NA,0,NA,NA,NA,"1876","1932","BRA"
"D'Estrée, Jean","FRA",NA,NA,17,1,NA,"not found",NA,0,NA,NA,NA,NA,NA,"FRA"
"Daffyhill, Dandi D.","USA","1985",NA,12,1,NA,"not found",NA,0,NA,NA,NA,"1985",NA,"USA"
"Dalla, Gostena G.Battista",NA,"1540","1598",1,1,NA,"not found",NA,0,NA,NA,NA,"1540","1598",NA
"Daly, Joseph M.","USA",NA,NA,2,1,NA,"not found",NA,0,NA,NA,NA,NA,NA,"USA"
"Damon, Sean",NA,NA,NA,5,1,NA,"not found",NA,0,NA,NA,NA,NA,NA,NA
"Dandrieu, Jean François","FRA","1682","1738",2,1,"http://d-nb.info/gnd/118638602","Dandrieu, Jean-François","FRA",1,"1682","1738","Andrieu, Jean-François d'; Dandrieu, J. F.; Dandrieu, Jean F.; Dandrieu, François; Dandrieux, Jean-François; Dandrieu, Jean François; D'Andrieu, J. F.; D'Andrieu, Jean François; Andrieu, Jean François d'","1682","1738","FRA"
"Dannels, Phillip J.","USA","1989",NA,1,1,NA,"not found",NA,0,NA,NA,NA,"1989",NA,"USA"
"Danti, Andrea",NA,"1974",NA,4,1,NA,"not found",NA,0,NA,NA,NA,"1974",NA,NA
"Daquin, Louis-Claude","FRA","1694","1772",18,1,"http://d-nb.info/gnd/120419548","Daquin, Louis-Claude","FRA",1,"1694","1772","Dacquin, L. C.; Daquin, Louis C.; Aquin, Claude d'; Daquin, L. Cl.; Aquin, Louis C. d'; Aquin, Louis Cl. d'; Daquin, Claude Louis; Daquin, Louis; Aquin, Louis-Claude d'; Daquin, Claude; Daquin, Louis Claude; D'Aquin, Louis-Claude; D'Aquin, Louis Claude; Aquin, Louis Claude d'","1694","1772","FRA"
"Darby, Bob","ENG","1947",NA,25,1,NA,"not found",NA,0,NA,NA,NA,"1947",NA,"ENG"
"Dargomïzhsky, Alexander Sergeyevich","RUS","1813","1869",4,1,NA,"not found",NA,0,NA,NA,NA,"1813","1869","RUS"
"Datzira, Pere",NA,"1968",NA,2,1,NA,"not found",NA,0,NA,NA,NA,"1968",NA,NA
"Dauprat, Louis-Francois","FRA","1781","1868",3,1,NA,"not found",NA,0,NA,NA,NA,"1781","1868","FRA"
"David, Félicien-César","FRA","1810","1876",1,1,"http://d-nb.info/gnd/118836358","David, Félicien","FRA",1,"1810","1876","David, Félicien-César; David, Félicien C.; David, Felicien; David, Felicien César; David, Félicien César","1810","1876","FRA"
"Davis, Sr., James Robert",NA,"1945",NA,2,1,NA,"not found",NA,0,NA,NA,NA,"1945",NA,NA
"Davis, Stuart M.",NA,"1973",NA,3,1,NA,"not found",NA,0,NA,NA,NA,"1973",NA,NA
"Dawes, Charles","USA","1865","1951",1,1,NA,"not found",NA,0,NA,NA,NA,"1865","1951","USA"
"Daza (Daça), Esteban","ESP",NA,NA,1,1,NA,"not found",NA,0,NA,NA,NA,NA,NA,"ESP"
"De, Surjo Kiran","GBR","1982",NA,1,1,NA,"not found",NA,0,NA,NA,NA,"1982",NA,"GBR"
"Debussy, Achille-Claude","FRA","1862","1918",257,1,"http://d-nb.info/gnd/118524186","Debussy, Claude","FRA",1,"1862","1918","Debussy, Claude Achill; Debussy, Achille-Claude; Debussy, Claudio; Debussy, Claude A.; Debussy, Claude-Achille; Debussy, C.; Debussy, ...; Debussy, Achille; Debussy, C. A.; Debjussi, Klod; Debussy, Claude Achille; Croche, Monsieur; Achtelnote, Herr; Debussy, Achille Claude; Debjussi, K.; Debiussi, K.","1862","1918","FRA"
"Delgado Palacios, Ramón","VEN","1863","1902",1,1,NA,"not found",NA,0,NA,NA,NA,"1863","1902","VEN"
"Delibes, Léo","FRA","1836","1891",20,1,"http://d-nb.info/gnd/118924265","Delibes, Léo","FRA",1,"1836","1891","Delibes, Clément P.; Delibes, Clément Philibert Léo; Delib, Leo","1836","1891","FRA"
"Delioux, Charles","FRA","1830","1880",2,1,"http://d-nb.info/gnd/141585390","Delioux, Charles","FRA",1,"1825","1915","Delioux, Ch.; Delioux-Savignac, Jean Charles; Delioux de Savignac, Charles",NA,NA,"FRA"
"Delius, Frederick","ENG","1862","1934",11,1,"http://d-nb.info/gnd/118671383","Delius, Frederick","FRA/GBR",1,"1862","1934","Delius, ...; Delius, Fritz A.; Delius, Frederik; Delius, Friedrich; Delius, Fritz Theodore Albert; Delius, Fritz Albert Theodore; Delius, Fritz; Delius, Frederick Albert Theodore","1862","1934","ENG"
"Demersseman, Jules","FRA","1833","1866",1,1,"http://d-nb.info/gnd/104166797","Demersseman, Jules Auguste Edouard",NA,1,"1833","1866","Demersseman, Jules; Demersseman, Jules-Auguste; Demerssemann, J.; Demersseman, Jules Auguste; Demersseman, Jules-Auguste-Edouard; Demersseman, Jules August Eduard; Demersmann, Jules; Demerssemann, Jules","1833","1866","FRA"
"Dentella, Pietro","ITA","1879","1964",5,1,NA,"not found",NA,0,NA,NA,NA,"1879","1964","ITA"
"Denza, Luigi","ITA","1846","1922",1,1,"http://d-nb.info/gnd/124396089","Denza, Luigi","ITA",1,"1846","1922","Dentsa, L.; Denza, L.","1846","1922","ITA"
"Derner, Jr., Rob R.",NA,NA,NA,1,1,NA,"not found",NA,0,NA,NA,NA,NA,NA,NA
"Dery, Jeruen Espino","PHL","1982",NA,7,1,NA,"not found",NA,0,NA,NA,NA,"1982",NA,"PHL"
"Des Prez, Josquin","FRA/FLM","1450","1521",10,1,NA,"not found",NA,0,NA,NA,NA,"1450","1521","FRA/FLM"
"Dese, Calvin Z.","USA","1959",NA,1,1,NA,"not found",NA,0,NA,NA,NA,"1959",NA,"USA"
"Destino, Nicolas A.","USA","1979",NA,2,1,NA,"not found",NA,0,NA,NA,NA,"1979",NA,"USA"
"Devienne, François","FRA","1759","1803",4,1,"http://d-nb.info/gnd/116088516","Devienne, François","FRA",1,"1759","1803","Devienne, ...; Devienne, Frederic; Devienne, F.; LeJeune, Vienne; Vienne, F. de; Vienne, le jeune; Devienne, le jeune","1759","1803","FRA"
"Diabelli, Anton","AUT","1781","1858",12,1,"http://d-nb.info/gnd/119216132","Diabelli, Anton","AUT/DEU",1,"1781","1858","Demon, Anton; Diabelli, A.; Diabelly, ...; Diabelli, Ant.; Diabelli, Antoine; Diabelli, Antonio","1781","1858","AUT"
"Dimoff, Eleanor Ogden","USA","1936",NA,5,1,NA,"not found",NA,0,NA,NA,NA,"1936",NA,"USA"
"Diotte, Gaëtan N.",NA,"1959",NA,1,1,NA,"not found",NA,0,NA,NA,NA,"1959",NA,NA
"Diruta, Girolamo",NA,NA,NA,1,1,"http://d-nb.info/gnd/12166032X","Diruta, Girolamo","ITA",0,"1554","1609","Dirutta, Gierolamo; Diruta, Hieronymus; Dirutta, Gierolamo da; Diruta,Hieronymus","1554","1609","ITA"
"Dittersdorf, Karl Ditters von","AUT","1739","1799",7,1,"http://d-nb.info/gnd/118679856","Dittersdorf, Karl Ditters von","AUT",1,"1739","1799","Ditters z Dittersdorfu, Karel; Dietersdorff, Karl Ditters von; Diters fon Ditersdorf, Karl; Dittersdorf; Ditters von Dittersdorf; Ditter von Dittersdorf, Carl; Dittersdorff, Ditters de; Ditters, Carlo; Ditters; Dittersdorf, Carlo de; Diettersdorff; Dittersdorff, C. D. de; Ditters de Dittersdorff, C.; Dittersdorf, Karl D. von; Ditters von Dittersdorf, Karl; Dittersdorf, Carl D. von; Dittersdorf, Carl von; Dittersdorf, Carl; Ditter von Dittersdorf, Karl; Dittersdorfu, Karel Ditters z; Ditersdorf, Karl Diters fon; Dietersdorf, Dieter von; Dittersdorf, Carl Ditters von; Ditters von Dittersdorf, Carl; Ditters, Karl; Von Dittersdorf, Carl Ditters; Ditters, Carl; Dittersdorf, Karl von; Dittersdorf, Charles Ditters de; Ditters de Dittersdorf, Charles","1739","1799","AUT"
"Dlugoraj, Wojciech",NA,NA,NA,8,1,NA,"not found",NA,0,NA,NA,NA,NA,NA,NA
"Dmytro, Barry J.",NA,"1981",NA,3,1,NA,"not found",NA,0,NA,NA,NA,"1981",NA,NA
"Dobson, David P.","ENG","1982",NA,1,1,NA,"not found",NA,0,NA,NA,NA,"1982",NA,"ENG"
"Dodson, Michael A.","USA","1948",NA,1,1,NA,"not found",NA,0,NA,NA,NA,"1948",NA,"USA"
"Donati, Baltassare","ITA",NA,NA,2,1,NA,"not found",NA,0,NA,NA,NA,NA,NA,"ITA"
"Donizetti, Gaetano","ITA","1797","1848",39,1,"http://d-nb.info/gnd/118526731","Donizetti, Gaetano","AUT/FRA/ITA",1,"1797","1848","Donizetti, Gaetano D.; Donizetti, Gaëtano; Donizetti, L.; Donizetti, Domenico Gaetano Maria; Donizetti, ...; Donizetti, C.; Donizetti, G.; Donicetti, G.; Donizzetti, Gaetano; Donizetti, Gaetanto; Donizeti, Gaetano; Donizetti, Cajetan; Donizetti, Geatano","1797","1848","ITA"
"Doppler, Franz","AUT","1821","1883",2,1,"http://d-nb.info/gnd/116180064","Doppler, Franz","AUT/HUN",1,"1821","1883","Doppler, Ferencz; Doppler, F.; Doppler, Albert Franz; Doppler, Albert F.; Doppler, Franz A.; Doppler, Fr.; Doppler, Frç.; Doppler, A. F.; Doppler, Ferenc; Doppler, Franz Albert; Doppler, François","1821","1883","AUT"
"Dornell, Antoine Dornell","FRA","1685","1765",4,1,NA,"not found",NA,0,NA,NA,NA,"1685","1765","FRA"
"Dougherty, Terrence P.","USA","1937",NA,23,1,NA,"not found",NA,0,NA,NA,NA,"1937",NA,"USA"
"Dowland, John","ENG","1563","1626",52,1,"http://d-nb.info/gnd/11867238X","Dowland, John","GBR",1,"1562","1626","Dowland, ...; Daurando, Jon; Dovland, Iohn; Douland, John; Dowland, J.; Dooland, John","1562","1626","ENG"
"Draeseke, Felix","DEU","1835","1913",5,1,"http://d-nb.info/gnd/118907735","Draeseke, Felix","DEU",1,"1835","1913","Draeseke; Draeseke, Felix August Bernhard","1835","1913","DEU"
"Dreyshock, Alexander",NA,"1818","1869",1,1,NA,"not found",NA,0,NA,NA,NA,"1818","1869",NA
"Driffill, William Ralph","ENG","1883","1916",1,1,"http://d-nb.info/gnd/1037186478","Driffill, William Ralph","GBR",1,"1883","1916","Driffill, W. Ralph","1883","1916","ENG"
"Driscoll, John R.",NA,"1977",NA,3,1,NA,"not found",NA,0,NA,NA,NA,"1977",NA,NA
"Dufay, Guillaume","FRA","1400","1474",6,1,"http://d-nb.info/gnd/118527924","Dufay, Guillaume","BEL/FRA/NLD",1,"1400","1474","Dufay, Guglielmus; Dufay, Guillelmus; Dufay, Guilelmus; Guilelmus, Dufay; Guillaume, Du Fayt; Djufai, Gijom; Dufay, Guilleaume; Guillaume, Dufay; Du Fay, Guillaume; Du Fayt, Guillaume; Fay, Guillaume du; Dufay, Gulielmus; Dufay, Gulielmo; Fayt, Guillaume du; Dufay, Guglielmo; Guillaume, Du Fay","1400","1474","FRA"
"Duffield, Joshua J.","AUS","1986",NA,1,1,NA,"not found",NA,0,NA,NA,NA,"1986",NA,"AUS"
"Dukas, Paul","FRA","1865","1935",6,1,"http://d-nb.info/gnd/119174049","Dukas, Paul","FRA",1,"1865","1935",NA,"1865","1935","FRA"
"Dunstable, John","ENG",NA,NA,6,1,"http://d-nb.info/gnd/119386518","Dunstable, John","GBR",0,"1390","1453","Dunstable, ...; Dunstable, J.; Dunstaple, John; Dunstapell, John; Dumstable, John; Donstaple, John","1390","1453","ENG"
"Duparc, Henri","FRA","1848","1933",1,1,"http://d-nb.info/gnd/118672789","Duparc, Henri","FRA",1,"1848","1933","Duparc, Henri Fouques; Duparc, Henri F.; Duparc, Marie Eugène Henri Fouques-; Fouques du Parc, Henri; Fouques-Duparc, Marie Eugène Henri; Fouques-Duparc, Henri; Fouques Duparc, Henri; Fouques Duparc, Henri Marie Eugène","1848","1933","FRA"
"Dupré, Marcel","FRA","1886","1971",4,1,"http://d-nb.info/gnd/119387018","Dupré, Marcel","FRA",1,"1886","1971","Dupré, ...; Dupré, M.","1886","1971","FRA"
"Durand, Marie-Auguste","FRA","1830","1909",3,1,"http://d-nb.info/gnd/134836448","Durand, Auguste","FRA",1,"1830","1909","Durand, Marie Auguste; Durand, Marie A.; Durand; Durand, Marie-Auguste; Durand, Aug.","1830","1909","FRA"
"Durango, Matias de","ESP","1636","1698",3,1,NA,"not found",NA,0,NA,NA,NA,"1636","1698","ESP"
"Durante, Francesco","ITA","1684","1755",3,1,"http://d-nb.info/gnd/118901753","Durante, Francesco","ITA",1,"1684","1755","Durante, F.; Durante, Pasquale-Francesco","1684","1755","ITA"
"Durgun, Ahmed Mahi","NLD","1983",NA,6,1,NA,"not found",NA,0,NA,NA,NA,"1983",NA,"NLD"
"Dussek, Jan Ladislav","FRA","1760","1812",11,1,"http://d-nb.info/gnd/11867286X","Dussek, Johann Ladislaus","CZE",1,"1760","1812","Dussek, ...; Dussek, Johann L.; Dusík, Johann L.; Dusseck, J. L.; Dussec, J. L.; Dusík, J. L.; Dušek, Johann Ludwig; Dusik, Wenzel Joh.; Dussek, I. L.; Dussek, J. L.; Dussek, Jan L.; Dusik, Jan L.; Dussek, Ladislav; Dussik, J. L.; Dusik, Jan Ladislaus; Dussek, L.; Dussek, Johann Ladislav; Dussek, Jan Ladislaus; Dussek, Johann Friedrich; Dussek, Jan Ladislaw; Dussek, Jean Louis; Dussek, Johann Ludwig; Dusík, Jan Ladislav; Dussek, Jan Ladislav; Dusík, Johann Ladislaus; Dusík, Johann Ludwig; Dušek, Jan Ladislav; Dussek, Wenzeslaus; Dussik, Johann Ladislaus; Dusseck, Johann Ladislas; Dussek, Ian Ladislav; Dusseck, Jan Ladislav; Dussík, Jan Ladislav","1760","1812","FRA"
"Duval, Louise","FRA","1704","1769",1,1,NA,"not found",NA,0,NA,NA,NA,"1704","1769","FRA"
"Duvernoy, Charles","FRA","1766","1845",1,1,"http://d-nb.info/gnd/132593920","Duvernoy, Charles","FRA",0,"1766","1845","Duvernoy, Jacques-Georges-Charles-François; Duvernoy, Jacques; Duvernoy, Jacques Georges Charles François","1766","1845","FRA"
"Duvernoy, Jean Baptiste",NA,"1800","1880",9,1,"http://d-nb.info/gnd/116259035","Duvernoy, Jean-Baptiste","FRA",1,"1800","1880","Duvernoy, Jean Baptiste; Duvernoy, J.-B.; Duvernoy, J. B.; Duvernoy, Jean B.","1800","1880","FRA"
"Dvořák, Antonín (Leopold)","CZE","1841","1904",196,1,"http://d-nb.info/gnd/11852836X","Dvořák, Antonín","AUT/CZE/USA",1,"1841","1904","Dvọřák, Antonín; Dvořak, Anton; Dvorak, Anton; Dvořác, Anton; Dvořak, Antoine; Dvořak, Antonin H.; Dvorák, Antonín H.; Dvorák, Antonin; Dvořák, Antonín Leopold; Dvořák, Antonín L.; Dvořák, ...; Dvořák-Kreisler, ...; Dvoržak, Antonin; Dvořák, A.; Dvořák, Antonin; Dvorak, Antonin; Dvořák, Anton; Dvorzak, Anton; Dvorzhak, Antonin","1841","1904","CZE"
"Döhler, Théodore","FRA","1814","1856",2,1,"http://d-nb.info/gnd/104066954","Döhler, Theodor","AUT/ITA",1,"1814","1856","Döhler, Charles Theodor; Döhler, Teodoro; Döhler, Théodore; Döhler, Theodor von; Doehler, Theodor; Döhler, T.","1814","1856","FRA"
"Eberlin, Johann Ernst","DEU","1702","1762",1,1,"http://d-nb.info/gnd/11938700X","Eberlin, Johann Ernst","DEU",1,"1702","1762","Eberlin, Giovanni Ernesto; Eberlin, Johannes Ernestus; Eberlin, Joannes Ernestus; Eberlin, Johann Ernest; Eberlin, Joh. Ernest; Eberlin, J. F.; Eberlin, Ernesto d'; Eberlin, Johann E.; Eberlin, Ernst","1702","1762","DEU"
"Eberling, Johann Georg","DEU","1637","1676",1,1,NA,"not found",NA,0,NA,NA,NA,"1637","1676","DEU"
"Eccard, Johannes","DEU","1553","1611",3,1,"http://d-nb.info/gnd/118528688","Eccard, Johannes","DEU",1,"1553","1611","Eccardus, Johannes aus Mühlhausen; Eccard, Johann; Eccard, Johann.; Eccard, J.; Eccard, Johan; Eccardt, Johannes; Eccardus, Johannes; Eckard, Johann","1553","1611","DEU"
"Eccles, John","ENG",NA,NA,2,1,"http://d-nb.info/gnd/121225488","Eccles, John","GBR",1,"1668","1735",NA,"1668","1735","ENG"
"Edwards, Keith Otis",NA,"1947",NA,22,1,NA,"not found",NA,0,NA,NA,NA,"1947",NA,NA
"Eichberg, Julius","USA","1824","1893",1,1,"http://d-nb.info/gnd/117736821","Eichberg, Julius","DEU",1,"1824","1893",NA,"1824","1893","USA"
"Eichner, Ernst","DEU","1740","1777",4,1,"http://d-nb.info/gnd/118688308","Eichner, Ernst","DEU",1,"1740","1777","Eichler, Ernesst; Eichner, Ernest; Eichner, Erneste; Eichner, Ernesto; Eichner, Ernst D.; Eichner, Ernst Dietrich Adolph; Eichner, Ernst Dietrich Adolf","1740","1777","DEU"
"Eisenstein, Louis","USA","1981",NA,1,1,NA,"not found",NA,0,NA,NA,NA,"1981",NA,"USA"
"Eldering, Klaas","NLD","1951",NA,2,1,NA,"not found",NA,0,NA,NA,NA,"1951",NA,"NLD"
"Elgar, Sir Edward","ENG","1857","1934",35,1,"http://d-nb.info/gnd/118688588","Elgar, Edward","GBR",1,"1857","1934","Francke, Gustav; Elgar, E.; Elgar, ...; Elgar, Edward W.; Elgar, Edward William; Elgar, Edgar William","1857","1934","ENG"
"Empricost, C.",NA,"1996",NA,4,1,NA,"not found",NA,0,NA,NA,NA,"1996",NA,NA
"Encina, Juan del","ESP","1468","1529",17,1,"http://d-nb.info/gnd/118955683","Encina, Juan del","ESP",0,"1468","1529","Ensina, Juan de; DelEncina, Juan; Enzina, Juan de la; Juan, del Encina; Enzina, Juan del; Enzina, Juan dell; Fermoselle, Juan de; Juan, del Enzina; Encina, Juan de la; De la Encina, Juan; La Encina, Juan de; Gutiérrez Abascal, Ricardo; Abascal, Ricardo Gutiérrez; Céspedes, Valentín de; De Céspedes, Valentín","1468","1529","ESP"
"Enescu, George","ROU","1881","1955",1,1,"http://d-nb.info/gnd/118684639","Enescu, George","ROU",1,"1881","1955","Enescu, ...; Grogga, Camille; Enescu, Georg; Enesku, D.; Enesco, Georges; Enescu, Georges; Enesco, George","1881","1955","ROU"
"Engelmann, Georg",NA,"1575","1632",6,1,"http://d-nb.info/gnd/134793757","Engelmann, Georg, sen.","DEU",1,"1570","1632","Engelman, Georgius","1570","1632","DEU"
"English, Walter P.","USA","1867","1916",3,1,NA,"not found",NA,0,NA,NA,NA,"1867","1916","USA"
"Enríquez, Carlos","MEX","1989",NA,8,1,NA,"not found",NA,0,NA,NA,NA,"1989",NA,"MEX"
"Episcopius, Lupus","NLD",NA,NA,1,1,NA,"not found",NA,0,NA,NA,NA,NA,NA,"NLD"
"Erkel, Ferenc","HUN","1810","1893",2,1,"http://d-nb.info/gnd/118530801","Erkel, Ferenc","HUN",1,"1810","1893","Erkel, Franz; Erkel, Ferents; Erkel, Ferensz; Erkel, Ference; Erkel, Ferencz; Erkel', Ferents","1810","1893","HUN"
"Erne, Rolf Peter","CHE","1958",NA,5,1,NA,"not found",NA,0,NA,NA,NA,"1958",NA,"CHE"
"Esposito, Michele","ITA","1855","1929",1,1,"http://d-nb.info/gnd/1019431180","Esposito, Michele","ITA",0,"1855","1929","Esposito, M.; Esposito, Michel","1855","1929","ITA"
"Esquivel, Juan","ESP",NA,NA,1,1,"http://d-nb.info/gnd/133710696","Esquivel, Juan García","MEX",1,"1918","2002","Esquivel, ...; Esquivel, Juan-García; Esquivel, Juan-Garciá","1918","2002","ESP"
"Estrada, Jaye Anthony","USA","1988",NA,6,1,NA,"not found",NA,0,NA,NA,NA,"1988",NA,"USA"
