Row	CAMC_Name	GND_URI	GND_Name	GND_Land	GND_Gender	GND_Birth	GND_Death	GND_VariantName
76	Bach, Johann Sebastian	http://d-nb.info/gnd/11850553X	Bach, Johann Sebastian	XA-DE	1	1685-03-21	1750-07-28	Bach; Bach, G. S.; Bach, Iogann Sebastʹjan; Bach, Joh. Sebastian; Bach, Giov. Sebast.; Bach, Jean Sebastien; Bach, Jean Sebastian; Bach, J. Seb.; Bach, Sebastiano; Bach, John Sebastian; Bach, Iogann S.; Bach, Iogann Sebast'jan; Bach, Giovanni Sebastian; Bach, Johan Sebastian; Bach, Joannes Sebastianus; Bach, Giov. Seb.; Bach, Giovanni S.; Bāḵ, Jōhān Sebaṣtī'ān; Bach, I. S.; Bach, J.-S.; Bach, Giovanni Sebastiano; Bach, Jean-Sebastien; Bach, Sebastian; Bach, Jan Sebastian; Bach, J. S.; Bach, Johann-Sebastian; Bach, Jean S.; Bach, Johannes S.; Bach, Johannes Sebastian; Bach, Joh. Seb.; Bach, Joh.-Seb.; Bach, Joh. Sebas.; Bach, Johann Seb.; Bach, Joh. Sebast.; Bach, Johann S.; Bach, Iogann Sebastjan; Bach, Jean Sébastien; Bach, Jean-Sébastien; Bach, Johann; Bach, Iogann Sebastʹjan; Bakh, Iogann Sebastian
77	Bach, Wilhelm Friedemann	http://d-nb.info/gnd/118505548	Bach, Wilhelm Friedemann	XA-DE	1	1710-11-22	1784-07-01	Bach, Wilhelm F.; Bach, Guglielmo Friedeman; Bach, Guiglielmo Friedemanno; Bach, Guillaume Friedemann; Bach, Gvillaume Friedemann; Bach, Wilh. Friedeman̄; Bach, W. F.; Bach, Fr.; Bach, Friedemann
78	Bachman, Georges	NA	not found	NA	0	NA	NA	NA
79	Backer-Gröndahl, Agathe Ursula	NA	not found	NA	0	NA	NA	NA
80	Badarzewska, Tekla	http://d-nb.info/gnd/103843299	Bądarzewska-Baranowska, Tekla	XA-PL	2	1834	1861-09-29	Ba̧darzewska, Tekla; Bondarzewska, Tekla; Ba̧darzewska-Baranowska, Tekla; Baranowska, Tekla Ba̧darzewska-; Badarzewska Baranowska, Tekla; Badarzewska, Thekla; Badarzewska, Th.; Badarzewska, T.; Bardazewska, Tekla; Badarczewska, Thekla; Baranowska, Tekla Badarzewska-; Badarzewska, Thécla; Badarczewska, Tecla; Baranowska, Tekla Bądarzewska-; Badarzewska, Tekla; Badarszewska, Tecla
81	Baeza, W. Ricardo	NA	not found	NA	0	NA	NA	NA
82	Baker, Jeffrey Reid	NA	not found	NA	0	NA	NA	NA
83	Bakfark, Balint Valentin	NA	not found	NA	0	NA	NA	NA
84	Balakirev, Mily	http://d-nb.info/gnd/118652036	Balakirev, Milij A.	XA-RU	1	1836-12-21	1910-05-16	Balakirev, Milij Alekseevič; Balakirev, ...; Balakirew, Milij Alexejewitsch; Balakirev, M. A.; Balakirev, M.; Balakirev, Mily A.; Balakirew, M.; Balakirew, Mili A.; Balakirew, Milij A.; Balakireff, Mily; Balakirev, Milii A.; Balakirev, Mili Alexeyevich; Balakirew, Mili; Balakirev, Mily; Balakirev, Mili; Balakirev, Mily Alexeyevich; Balakirew, Mili Alexejewitsch; Balakirev, Milij; Balakirev, Milii Alekseevich; Balakirev, Miliĭ Alekseevich; Balakirew, Milij; Balakirev, Mily Alexejewitsch
85	Balfe, Michael William	http://d-nb.info/gnd/115829253	Balfe, Michael W.	XA-IE; XA-GB	1	1808-05-15	1870-10-20	Barret, William A.; Balfe, Michael William; Balfe, Guglielmo; Balfe, M. W.
